Name,Artifact Type,Category,Description,Tags,Classifications,Stewards,Related Terms,Part Of Terms,Data Classes
Communication,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"The receiving or sending of an information between two parties. A communication may be in any medium such as a telephone call, a letter, an email, a meeting, and so on. ",,,,,,
Communication End,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The date and time when the communication was ended.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Communication,Date
Communication Start,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The date and time when the communication was initiated.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Communication,Date
Communication Status,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"The communication status distinguishes between communications according to their current state, for example: awaiting further information, closed, open.",,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Communication,
Communication Type,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"Indicates the type of communication that has occurred or is planned to occur, for example: campaign mailing, complaint, quotation request.",,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Communication,
Cost To Serve,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Indicates the total cost associated with providing customer service. ,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,
Country,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,A geographic area that defines the boundaries of a nation.,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Postal Address,,Country Name
Country Code,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"A code which identifies a country, for example: the country code for Ireland is 'IE'.",,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Country,Country Code
Country Name,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"Identifies the label assigned to or by which a country may be identified, for example: Ireland, India.",,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Country,Country Name
County,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The name of the county.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Postal Address,
Credit Risk Score,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,A score that that indicates the exposure risk weighting of the account. Rating scores are viewed in terms of the specific type of assessment or set of values used to evaluate a particular aspect of a financial services marketplace.,,,,,,
Customer,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,A person or organization buying goods or services from the organization.,,Personally Identifiable Information,,,,
Customer Account,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Customer account includes information from the customer agreements to create billings or invoices for a customer and receive payment.,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,,
Customer Account Address,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The postal address associated with the customer account.,,Personally Identifiable Information,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Postal Address,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer Account,Address  Line 3
,,,,,,,,,Address Line 2
,,,,,,,,,Address Line 1
Customer Account Life Cycle Status,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Additional classification of customer account status that determines the status of the account based on its life cycle.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer Account,
Customer Account Product Type,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Classification of product or service that this account represents or is associated with this account.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer Account,
Customer Acquisition Cost,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The primary costs of establishing the customer. The money spent on convincing the customer to purchase the products or services of the organization.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,
Customer Active Accounts,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Identifies the number of active customer accounts.,,,,,,
Customer Agreement,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,An agreement between the customer and the organization to pay for goods or services. The agreement records billing information about the type of service and product that is provided.,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,,
,,,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer Account,,
Customer Agreement Number,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The unique alphanumeric value that is assigned in the business process and identifies the customer agreement.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer Agreement,
Customer Agreement Type,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,An organization specific classification of the customer agreement.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer Agreement,
Customer Agreement Validity End,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The date and time when the validity of the customer agreement ceased.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer Agreement,Date
Customer Agreement Validity Start,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The date and time when the validity of the customer agreement commenced.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer Agreement,Date
Customer Building Type,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"The type of property in which the customer resides e.g. Apartment, Condominium.",,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,
,,,,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Household,
Customer Call Duration,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The net duration of the customer call measured from the time when the call is answered to the time the call ended usually expressed as number of minutes.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer Phone Call,
Customer Calls,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"Number of all phone calls with customers, both customer and organization initiated, in the assessed period.",,,,,,
Customer Communication,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The communication between the customer and the organization typically handled by a contact center.,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,,
,,,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Communication,,
Customer Complaints,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Number of all customer complaints recorded in assessed period.,,,,,,
Customer Credit Authority Level,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"Scale of authority for credit of the customer on the market, for example: high, medium, low.",,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,
Customer Emails,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Number of all customer emails received in assessed period.,,,,,,
Customer Identifier,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,A unique number that identifies the customer.,,Personally Identifiable Information,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,DUNS Number
,,,,,,,,,Customer Number
,,,,,,,,,Identifier
Customer Importance,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"The level of importance that the customer has to the organization, for example: low, normal, high, VIP.",,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,
Customer Income Segment,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The customer classification that is used to group customers according to their available annual income.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,
Customer Language,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Identifies the natural language associated with customer for use in communications.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,Language Code or Name
Customer Lifetime Value,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The total projected earnings of a customer to the organization over its probable lifetime.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,
Customer Market Segment,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The customer classification that is used to segment customers to produce and track the sales forecast.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,
Customer Name,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"The name by which a customer is known and which is usually used to identify that customer. For example: International Business Machines Corporation (IBM), Joe Bloggs.",,Personally Identifiable Information,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,Organization Name
,,,,,,,,,Person Name
Customer Net Present Value,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The present value of the customer's net expected future cash flows minus the cost of investment (or cost of acquisition).,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,
Customer Phone Call,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,A call between a customer and a contact center agent. This includes both contact center inbound and outbound phone calls.,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer Communication,,
Customer Products,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Number of products the customer owns or has a subscription for.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,
Customer Satisfaction,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The overall satisfaction of the customer with the goods or services that are provided by the organization.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,
Customer Sentiment,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The overall attitude of the customer to the goods or services provided by the organization.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,
Customer Social Media Account,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The social network account used to communicate with the customer.,,Sensitive Personal Information,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Social Media Account,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,
Customer Social Media Posts,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Number of all customer posts in social media addressed to the organization in the assessed period.,,Personally Identifiable Information,,,,
,,,,,Sensitive Personal Information,,,,
Customer Status,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"The status of the customer based on whether there is an active agreement in place between the customer and the organization, for example: active, dormant, former, prospect.",,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,
Customer Tenure,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The duration in years or months since the start date of the first agreement the customer had with the organization.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,
Customer Type,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"The type of the customer based on the classification of the organization that is in a contractual or other relationship with the customer, for example: residential, industrial, commercial, government.",,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,
Date Of Birth,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The date when an individual was born.,,Personally Identifiable Information,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,Date of Birth
Discount,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,A deduction made by the seller from the normal sales price of the product.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Product,
Dormant Customers,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The number of customers without account transaction and communication during a given period of time. The dormant customers are the customers without any active contracts.,,,,,,
Driver License Number,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The unique number assigned to an individual's driver license.,,Personally Identifiable Information,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,Louisiana State Driver's License
,,,,,Sensitive Personal Information,,,,Newfoundland and Labrador Province Driver's License
,,,,,,,,,Kentucky State Driver's License
,,,,,,,,,New York State Driver's License
,,,,,,,,,Georgia State Driver's License
,,,,,,,,,Missouri State Driver's License
,,,,,,,,,Saskatchewan Province Driver's License
,,,,,,,,,Wisconsin State Driver's License
,,,,,,,,,Wyoming State Driver's License
,,,,,,,,,Tennessee State Driver's License
,,,,,,,,,Oklahoma State Driver's License
,,,,,,,,,California State Driver's License
,,,,,,,,,Rhode Island State Driver's License
,,,,,,,,,Pennsylvania State Driver's License
,,,,,,,,,Connecticut State Driver's License
,,,,,,,,,West Virginia State Driver's License
,,,,,,,,,Washington State Driver's License
,,,,,,,,,Washington DC Driver's License
,,,,,,,,,Ohio State Driver's License
,,,,,,,,,Texas State Driver's License
,,,,,,,,,Kansas State Driver's License
,,,,,,,,,Maryland State Driver's License
,,,,,,,,,Idaho State Driver's License
,,,,,,,,,Iowa State Driver's License
,,,,,,,,,North Carolina State Driver's License
,,,,,,,,,Delaware State Driver's License
,,,,,,,,,North Dakota State Driver's License
,,,,,,,,,South Carolina State Driver's License
,,,,,,,,,Utah State Driver's License
,,,,,,,,,Nova Scotia Province Driver's License
,,,,,,,,,Nebraska State Driver's License
,,,,,,,,,Montana State Driver's License
,,,,,,,,,Massachusetts State Driver's License
,,,,,,,,,Manitoba Province Driver's License
,,,,,,,,,New Hampshire State Driver's License
,,,,,,,,,South Dakota State Driver's License
,,,,,,,,,Alberta Province Driver's License
,,,,,,,,,Driver's License
,,,,,,,,,Prince Edward Island Province Driver's License
,,,,,,,,,Arizona State Driver's License
,,,,,,,,,Hawaii State Driver's License
,,,,,,,,,Florida State Driver's License
,,,,,,,,,Colorado State Driver's License
,,,,,,,,,Quebec Province Driver's License
,,,,,,,,,New Jersey State Driver's License
,,,,,,,,,Indiana State Driver's License
,,,,,,,,,Minnesota State Driver's License
,,,,,,,,,Alaska State Driver's License
,,,,,,,,,Oregon State Driver's License
,,,,,,,,,Vermont State Driver's License
,,,,,,,,,Mississippi State Driver's License
,,,,,,,,,Michigan State Driver's License
,,,,,,,,,Nevada State Driver's License
,,,,,,,,,Arkansas State Driver's License
,,,,,,,,,Illinois State Driver's License
,,,,,,,,,Alabama State Driver's License
,,,,,,,,,British Columbia Province Driver's License
,,,,,,,,,Virginia State Driver's License
,,,,,,,,,Maine State Driver's License
,,,,,,,,,New Brunswick Province Driver's License
,,,,,,,,,New Mexico State Driver's License
,,,,,,,,,Ontario Province Driver's License
Ecological Product,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Indicates whether a customer has purchased an ecological or organic product.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Lifestyle Attributes,
Education Level,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The highest level of education of the person.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,
Electric Vehicle Indicator,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Indicates whether the household owns an electric vehicle.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Household,
Electronic Bill Indicator,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Indicates whether the customer is registered for electronic billing.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Household,
Email Address,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"An electronic address that can be used to send and receive correspondence over a computer network, for example: jsmith@jonesinc.com.",,Personally Identifiable Information,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,Email Address
Employment Status,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"The employment status of an individual, for example: full-time, part-time, unemployed, retired.",,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,Employment Status
Energy Savings,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The percentage change in total energy usage year-to-year.,,,,,,
Energy Usage,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"The amount of energy used by a customer, for example energy used in a given month or year.",,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Household,
Environmental Charity,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Indicates whether a customer makes monthly donations or an annual donation to a charity dedicated to promoting awareness of environmental issues.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Lifestyle Attributes,
Ethically Sourced Product,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Indicates whether a customer has purchased an ethically sourced product.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Lifestyle Attributes,
Ethnicity,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"A classification of an individual based on their membership in a group that is united and defined to a greater or lesser degree by common history, beliefs, culture, nationality, etc.",,Sensitive Personal Information,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,Ethnicity
Fairtrade Product,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Indicates whether a customer has purchased a fairtrade product.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Lifestyle Attributes,
Family Cycle,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"Indicates the type of living arrangement of an individual, for example : Unattached Adult. ",,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,
First Name,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"A personal name typically used to refer to an individual in informal circumstances, for example: John, Mary.",,Personally Identifiable Information,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,First Name
Frequent Nature Visitor,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Indicates whether a customer spends time enjoying the outdoors and nature on a regular basis.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Lifestyle Attributes,
Gender,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"Indicates an individual's gender, for example: male, female.",,Personally Identifiable Information,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,Gender
Green Energy,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Indicates whether a customer requires green energy.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Lifestyle Attributes,
Home Address,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The address of a person's home.,,Personally Identifiable Information,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Postal Address,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,Address  Line 3
,,,,,,,,,Address Line 2
,,,,,,,,,Address Line 1
Home Automation Indicator,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"Indicates whether the household has one or more automation devices installed. For example: smart thermostat, automated lighting system.",,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Household,
Home Energy Efficiency Ratio,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"A ratio indicating the overall energy efficiency of the property, calculated by dividing the the size of the property by the energy usage per month.",,,,,,
Home Size,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"The floor space of a property, measured by multiplying the length by the width of the structure, usually expressed in square feet or square meters.",,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Household,
Household,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"A group of individuals, who can be resident at the same address and members of the same family, that share a common economic interest and are treated as a unit for certain purposes.",,Personally Identifiable Information,,,,
Household Home Ownership,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Indicates whether a member of the household is also the property owner.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Household,
Inbound Calls,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The number of calls to contact center initiated by the customer during the analyzed period. This includes both answered and abandoned calls.,,,,,,
Inbound Communications,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"The number of contacts with the organization that were initiated by the customers during the analyzed period. This includes phone calls, emails, text messages or communications using social media.",,,,,,
Last Name,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"Identifies an individual's name which belongs to the family the Individual is a part of, for example: Smith, Mueller.",,Personally Identifiable Information,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,Last Name
Levy,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"An obligatory payment to a government or other agency, usually connected to a specific purpose or initiative.",,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Billing,
Lifestyle Attributes,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"Information about a customer's way of life, gathered from customer surveys.",,Sensitive Personal Information,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Product,,
,,,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,,
Marital Status,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Current legal situation of the individual regarding marriage.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Customer,Legal Marital/Civil Status.
Meat Substitute Product,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Indicates whether a customer has purchased a meat substitute.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Lifestyle Attributes,
Nature Preservation Charity,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Indicates whether a customer makes monthly donations or an annual donation to a charity dedicated to preserving nature.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Lifestyle Attributes,
Number of Customer Accounts,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The number of customer accounts in assessed period.,,,,,,
Number of Customer Communications,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"The number of all communications with customers, both customer and organization initiated, in the assessed period. This includes phone calls, letters, emails, texts, social media interactions, web and mobile chats.",,,,,,
Outbound Calls,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The number of contact center calls to customer during the analyzed period. This includes both calls answered by customer and calls ended by agent due to customer not answering.,,,,,,
Outbound Communications,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"The number of customer contacts with the organization that were initiated by the contact center during the analyzed period. This includes phone calls, email, text messages or communications using social media.",,,,,,
Photovoltaic System Indicator,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Indicates whether the household has a photovoltaic system installed.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Household,
Photovoltaic Zone Indicator,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Indicates whether the location is included in the Photovoltaic(PV) zone.,,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Household,
Postal Address,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,The address to which mail is delivered.,,,,,,Address  Line 3
,,,,,,,,,Address Line 2
,,,,,,,,,Address Line 1
Postal Address Area Type,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,"Classifies the area to which the postal address belongs according to the density, type and layout of buildings.",,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Postal Address,
Postal Address City,glossary_term,Industry Accelerators >> Utilities Customer Micro-Segmentation,Identifies the city component of postal address. ,,,,Industry Accelerators >> Utilities Customer Micro-Segmentation >> City,Industry Accelerators >> Utilities Customer Micro-Segmentation >> Postal Address,City
