Date,Prod_Parts_per_Day,Failrate,Date Numerical
"03/18/2016",4.190000,2.625298,20160318
"05/18/2016",3.660000,6.830601,20160518
"06/18/2016",1.860000,21.505376,20160618
"08/18/2016",6.940000,8.069164,20160818
"02/18/2016",1.730000,0.578035,20160218
"07/18/2016",3.410000,4.692082,20160718
"02/19/2016",6.190000,0.969305,20160219
"03/19/2016",1.000000,1.000000,20160319
"04/19/2016",0.400000,2.500000,20160419
"05/19/2016",4.430000,3.160271,20160519
"07/19/2016",5.070000,22.879684,20160719
"08/19/2016",6.750000,8.592593,20160819
"09/19/2016",4.750000,6.736842,20160919
"01/19/2016",3.090000,0.647249,20160119
"02/20/2016",1.320000,0.757576,20160220
"07/20/2016",5.840000,26.541096,20160720
"08/20/2016",1.830000,14.207650,20160820
"09/20/2016",5.160000,7.558140,20160920
"06/20/2016",4.210000,18.052257,20160620
"03/21/2016",5.560000,1.618705,20160321
"04/21/2016",6.770000,0.590842,20160421
"05/21/2016",1.700000,1.176471,20160521
"06/21/2016",4.820000,27.178423,20160621
"07/21/2016",5.050000,31.683168,20160721
"09/21/2016",6.760000,9.023669,20160921
"08/21/2016",0.290000,13.793103,20160821
"01/22/2016",5.140000,0.389105,20160122
"02/22/2016",4.500000,4.000000,20160222
"03/22/2016",5.100000,5.294118,20160322
"04/22/2016",4.780000,0.418410,20160422
"07/22/2016",6.680000,41.167665,20160722
"08/22/2016",7.030000,8.961593,20160822
"09/22/2016",9.220000,2.060738,20160922
"06/22/2016",4.560000,16.666667,20160622
"05/22/2016",0.240000,4.166667,20160522
"02/23/2016",3.880000,0.773196,20160223
"03/23/2016",5.790000,4.490501,20160323
"05/23/2016",6.630000,3.016591,20160523
"06/23/2016",5.770000,24.263432,20160623
"07/23/2016",1.520000,67.763158,20160723
"08/23/2016",7.160000,5.586592,20160823
"09/23/2016",5.160000,1.162791,20160923
"02/24/2016",6.680000,1.796407,20160224
"03/24/2016",6.610000,6.807867,20160324
"05/24/2016",7.340000,0.408719,20160524
"06/24/2016",4.650000,12.688172,20160624
"08/24/2016",7.080000,12.994350,20160824
"07/24/2016",0.660000,48.484848,20160724
"02/25/2016",6.210000,3.381643,20160225
"04/25/2016",4.070000,0.245700,20160425
"06/25/2016",0.430000,23.255814,20160625
"07/25/2016",2.620000,32.824427,20160725
"08/25/2016",7.720000,22.538860,20160825
"02/26/2016",4.870000,0.205339,20160226
"04/26/2016",3.290000,0.607903,20160426
"07/26/2016",7.700000,33.636364,20160726
"08/26/2016",7.740000,5.426357,20160826
"07/27/2016",5.050000,34.059406,20160727
"08/27/2016",1.240000,8.064516,20160827
"05/27/2016",3.930000,3.562341,20160527
"06/27/2016",4.130000,23.244552,20160627
"04/28/2016",4.940000,0.404858,20160428
"06/28/2016",6.370000,6.593407,20160628
"07/28/2016",7.610000,33.377135,20160728
"08/28/2016",0.490000,8.163265,20160828
"06/29/2016",2.380000,7.983193,20160629
"07/29/2016",7.250000,26.482759,20160729
"08/29/2016",8.040000,6.840796,20160829
"01/29/2016",5.080000,0.393701,20160129
"03/29/2016",3.960000,6.060606,20160329
"02/29/2016",4.210000,1.425178,20160229
"03/30/2016",7.220000,4.986150,20160330
"06/30/2016",5.800000,22.931034,20160630
"07/30/2016",0.880000,21.590909,20160730
"08/30/2016",6.280000,1.114650,20160830
"03/31/2016",5.040000,3.769841,20160331
"08/31/2016",6.090000,1.970443,20160831
