Latitude,Longitude,DateHrGmt,DateHrLwt,SurfaceTemperatureCelsius,SurfaceDewpointTemperatureCelsius,SurfaceWetBulbTemperatureCelsius,RelativeHumidity,SurfaceAirPressureKilopascals,CloudCoverage,WindChillTemperatureCelsius,ApparentTemperatureCelsius,WindSpeedKph,WindDirectionDegrees,PrecipitationPreviousHourCentimeters,DownwardSolarRadiation,DiffuseHorizontalRadiationWsqm,DirectNormalIrradiance,MslPressure,HeatIndexCelsius,SnowfallCentimeters,SurfaceWindGustsKph,ReferenceEvapotranspirationMillimetersPerHour
48.82233,9.41631,5/5/2016 3:00,5/5/2016 5:00,2.1,1.25,1.6,94,98,0,-0.6,-0.6,9,101,0,0,0,0,102.6,2.1,0,66.2,0
48.82233,9.41631,5/5/2016 4:00,5/5/2016 6:00,2,1.25,1.6,95,98.1,0,-0.8,-0.8,9.4,96,0,0,0,0,102.7,2,0,67.2,0
48.82233,9.41631,5/5/2016 5:00,5/5/2016 7:00,3.7,1.799999952,2.8,87,98.1,0,1.2,1.2,9.9,92,0,79,47,383,102.7,3.7,0,67.8,0
48.82233,9.41631,5/5/2016 6:00,5/5/2016 8:00,6.4,2.720000029,4.7,77,98.1,0,3.9,3.9,12.6,90,0,244,82,662,102.6,6.4,0,67.4,0.001
48.82233,9.41631,5/5/2016 7:00,5/5/2016 9:00,9.1,3.960000038,6.6,71,98,0,6.9,6.9,14.3,82,0,428,94,821,102.5,9.1,0,63.4,0.001
48.82233,9.41631,5/5/2016 8:00,5/5/2016 10:00,10.6,4.679999828,7.7,67,97.9,0,10.6,10.6,16.4,90,0,593,90,905,102.5,10.6,0,63.1,0.001
48.82233,9.41631,5/5/2016 9:00,5/5/2016 11:00,12.1,5.550000191,8.7,64,97.9,0,12.1,12.1,17.2,91,0,728,88,940,102.4,12.1,0,62.2,0.002
48.82233,9.41631,5/5/2016 10:00,5/5/2016 12:00,13.4,6.5,9.8,63,97.8,0,13.4,13.4,18,91,0,824,105,928,102.3,13.4,0,61.1,0.002
48.82233,9.41631,5/5/2016 11:00,5/5/2016 13:00,14.5,7.369999886,10.6,63,97.8,0,14.5,14.5,18.8,92,0,870,141,878,102.3,14.5,0,59.9,0.002
48.82233,9.41631,5/5/2016 12:00,5/5/2016 14:00,15.3,8.119999886,11.3,63,97.8,0,15.3,15.3,19.7,93,0,865,163,832,102.2,15.3,0,59,0.002
48.82233,9.41631,5/5/2016 13:00,5/5/2016 15:00,16.2,8.789999962,12,62,97.7,0,16.2,16.2,20.3,96,0,809,176,777,102.1,16.2,0,53.8,0.002
48.82233,9.41631,5/5/2016 14:00,5/5/2016 16:00,16.2,9.020000458,12.1,63,97.6,0,16.2,16.2,20.9,101,0,707,182,705,102,16.2,0,53.2,0.002
48.82233,9.41631,5/5/2016 15:00,5/5/2016 17:00,15.9,9.260000229,12.1,65,97.5,0,15.9,15.9,20.1,104,0,569,169,626,102,15.9,0,52.3,0.002
48.82233,9.41631,5/5/2016 16:00,5/5/2016 18:00,15.3,9.550000191,12,69,97.5,0,15.3,15.3,18.1,107,0,406,171,467,101.9,15.3,0,51.5,0.002
48.82233,9.41631,5/5/2016 17:00,5/5/2016 19:00,14.3,10.06000042,11.8,76,97.5,0,14.3,14.3,14.5,106,0,234,131,296,101.9,14.3,0,50.9,0.001
48.82233,9.41631,5/5/2016 18:00,5/5/2016 20:00,12.1,9.430000305,10.6,84,97.5,0,12.1,12.1,12.9,105,0,77,76,0,101.9,12.1,0,50.8,0.001
48.82233,9.41631,5/5/2016 19:00,5/5/2016 21:00,11.2,9.760000229,10.4,91,97.4,0,11.2,11.2,13.6,105,0,0,0,0,101.9,11.2,0,48.2,0
48.82233,9.41631,5/5/2016 20:00,5/5/2016 22:00,10.1,8.819999695,9.4,92,97.4,0,10.1,10.1,14.5,106,0,0,0,0,101.9,10.1,0,48.1,0
48.82233,9.41631,5/5/2016 21:00,5/5/2016 23:00,9.2,8.020000458,8.6,92,97.4,0,7,7,14.4,109,0,0,0,0,101.9,9.2,0,47.7,0
48.82233,9.41631,5/8/2016 22:00,5/9/2016 0:00,14.6,8.260000229,11,66,96.8,14,14.6,14.6,20.3,97,0,0,0,0,101.1,14.6,0,45.9,0.002
48.82233,9.41631,5/8/2016 23:00,5/9/2016 1:00,13.7,7.829999924,10.5,68,96.8,0,13.7,13.7,19.9,99,0,0,0,0,101.2,13.7,0,45.3,0.002
48.82233,9.41631,5/9/2016 0:00,5/9/2016 2:00,12.7,7.679999828,10,72,96.8,1,12.7,12.7,18.2,103,0,0,0,0,101.2,12.7,0,45.6,0.001
48.82233,9.41631,5/9/2016 1:00,5/9/2016 3:00,12.3,8.5,10.2,78,96.8,0,12.3,12.3,15.1,107,0,0,0,0,101.2,12.3,0,45.9,0.001
48.82233,9.41631,5/9/2016 2:00,5/9/2016 4:00,11.3,8.369999886,9.7,83,96.8,0,11.3,11.3,13.4,109,0,0,0,0,101.2,11.3,0,44.9,0.001
48.82233,9.41631,5/9/2016 3:00,5/9/2016 5:00,10.3,8.039999962,9.1,86,96.7,0,10.3,10.3,12,107,0,0,0,0,101.2,10.3,0,41.7,0
48.82233,9.41631,5/9/2016 4:00,5/9/2016 6:00,9.7,7.769999981,8.7,88,96.8,5,8,8,11.8,105,0,0,0,0,101.2,9.7,0,37.7,0
48.82233,9.41631,5/9/2016 5:00,5/9/2016 7:00,10.2,8.020000458,9.1,86,96.8,7,10.2,10.2,12,107,0,85,46,403,101.3,10.2,0,34.8,0
48.82233,9.41631,5/9/2016 6:00,5/9/2016 8:00,11.9,8.75,10.2,81,96.9,7,11.9,11.9,12.8,112,0,252,79,670,101.3,11.9,0,33.3,0.001
48.82233,9.41631,5/9/2016 7:00,5/9/2016 9:00,14.3,10.39999962,12,77,96.9,6,14.3,14.3,10.8,100,0,436,89,828,101.3,14.3,0,27.7,0.001
48.82233,9.41631,5/9/2016 8:00,5/9/2016 10:00,16.1,11.51000023,13.4,74,96.9,19,16.1,16.1,11.3,108,0,600,88,902,101.3,16.1,0,29,0.001
48.82233,9.41631,5/9/2016 9:00,5/9/2016 11:00,17.9,12.46000004,14.6,70,96.8,50,17.9,17.9,10.8,113,0,721,101,896,101.2,17.9,0,36.5,0.001
48.82233,9.41631,5/9/2016 10:00,5/9/2016 12:00,19.5,12.97999954,15.4,66,96.9,81,19.5,19.5,9.7,114,0,782,179,768,101.2,19.5,0,40.7,0.001
48.82233,9.41631,5/9/2016 11:00,5/9/2016 13:00,20.7,13.22999954,15.9,62,96.9,88,20.7,20.7,9.7,116,0,787,283,600,101.2,20.7,0,34.6,0.002
48.82233,9.41631,5/9/2016 12:00,5/9/2016 14:00,21.5,13.39999962,16.3,60,96.9,96,21.5,21.5,10,117,0,743,326,488,101.2,21.5,0,33.2,0.002
48.82233,9.41631,5/9/2016 13:00,5/9/2016 15:00,22,14.09000015,16.9,60,96.8,95,22,22,10.5,100,0.00254,675,352,391,101.2,22,0,40.3,0.002
48.82233,9.41631,5/9/2016 14:00,5/9/2016 16:00,21.5,15.11999989,17.3,67,96.8,82,21.5,21.5,14.3,105,0.025,632,280,467,101.1,21.5,0,44.9,0.002
48.82233,9.41631,5/9/2016 15:00,5/9/2016 17:00,21,15.48999977,17.4,71,96.7,50,21,21,14.2,110,0.025,562,210,542,101.1,21,0,48,0.002
48.82233,9.41631,5/9/2016 16:00,5/9/2016 18:00,21,15.63000011,17.5,72,96.8,19,21,21,11.5,112,0.00254,400,173,440,101.1,21,0,50.6,0.001
48.82233,9.41631,5/9/2016 17:00,5/9/2016 19:00,20.3,16.43000031,17.7,79,96.8,4,20.3,20.3,8.6,108,0,234,140,259,101.1,20.3,0,54.7,0.001
48.82233,9.41631,5/9/2016 18:00,5/9/2016 20:00,18,14.94999981,16,83,96.8,17,18,18,10.1,108,0,82,82,0,101.1,18,0,50.5,0.001
48.82233,9.41631,5/9/2016 19:00,5/9/2016 21:00,17.6,15.03999996,15.9,85,96.8,51,17.6,17.6,10.8,107,0,0,0,0,101.1,17.6,0,60.3,0.001
48.82233,9.41631,5/9/2016 20:00,5/9/2016 22:00,16.5,13.52999973,14.7,83,96.8,38,16.5,16.5,12.8,110,0,0,0,0,101.2,16.5,0,45,0.001
48.82233,9.41631,5/9/2016 21:00,5/9/2016 23:00,14.9,12.42000008,13.4,85,96.8,25,14.9,14.9,11.7,112,0,0,0,0,101.2,14.9,0,30.2,0.001
