ID,Scrap
"0046135C",1
"0085135C",1
"0128135C",1
"0657135C",1
"0005137C",1
"0016137C",1
"0021137C",1
"0049137C",1
"0050137C",1
"0098138C",1
"0104138C",1
"0107138C",1
"0114138C",1
"0132138C",1
"0168138C",1
"0180138C",1
"0186138C",1
"0205138C",1
"0208138C",1
"0218138C",1
"0226138C",1
"0234138C",1
"0239138C",1
"0277138C",1
"0339138C",1
"0368138C",1
"0413138C",1
"0414138C",1
"0441138C",1
"0442138C",1
"0448138C",1
"0450138C",1
"0461138C",1
"0486138C",1
"0493138C",1
"0497138C",1
"0529138C",1
"0551138C",1
"0558138C",1
"0002139C",1
"0032139C",1
"0045139C",1
"0053139C",1
"0059139C",1
"0061139C",1
"0062139C",1
"0070139C",1
"0077139C",1
"0082139C",1
"0104139C",1
"0441139C",1
"0237140C",1
"0524140C",1
"0090141C",1
"0171141C",1
"0178141C",1
"0192141C",1
"0195141C",1
"0211141C",1
"0261141C",1
"0294141C",1
"0340141C",1
"0382141C",1
"0006142C",1
"0126142C",1
"0170142C",1
"0014144C",1
"0072144C",1
"0080144C",1
"0107144C",1
"0108144C",1
"0118144C",1
"0146144C",1
"0167144C",1
"0197144C",1
"0205144C",1
"0209144C",1
"0330144C",1
"0086146C",1
"0266146C",1
"0745146C",1
"0761146C",1
"0764146C",1
"0783146C",1
"0788146C",1
"0789146C",1
"0822146C",1
"0828146C",1
"0017147C",1
"0024147C",1
"0040147C",1
"0072147C",1
"0080147C",1
"0602153C",1
"0458154C",1
"0164155C",1
"0312155C",1
"0326155C",1
"0337155C",1
"0338155C",1
"0347155C",1
"0351155C",1
"0355155C",1
"0356155C",1
"0362155C",1
"0366155C",1
"0372155C",1
"0377155C",1
"0406155C",1
"0412155C",1
"0454155C",1
"0467155C",1
"0472155C",1
"0476155C",1
"0477155C",1
"0478155C",1
"0482155C",1
"0483155C",1
"0484155C",1
"0485155C",1
"0493155C",1
"0496155C",1
"0499155C",1
"0511155C",1
"0512155C",1
"0513155C",1
"0518155C",1
"0541155C",1
"0592155C",1
"0672155C",1
"0761155C",1
"0782155C",1
"0783155C",1
"0787155C",1
"0788155C",1
"0829155C",1
"0830155C",1
"0835155C",1
"0836155C",1
"0846155C",1
"0857155C",1
"0859155C",1
"0861155C",1
"0864155C",1
"0870155C",1
"0898155C",1
"0901155C",1
"0903155C",1
"0904155C",1
"0920155C",1
"0921155C",1
"0932155C",1
"0946155C",1
"0947155C",1
"0954155C",1
"0955155C",1
"0971155C",1
"0985155C",1
"0994155C",1
"1008155C",1
"1009155C",1
"1011155C",1
"1016155C",1
"1017155C",1
"1021155C",1
"1024155C",1
"1027155C",1
"1038155C",1
"1042155C",1
"1055155C",1
"1057155C",1
"1063155C",1
"1074155C",1
"1080155C",1
"1089155C",1
"1092155C",1
"1093155C",1
"1094155C",1
"1099155C",1
"1101155C",1
"1102155C",1
"1109155C",1
"1111155C",1
"1114155C",1
"1115155C",1
"1116155C",1
"1118155C",1
"1119155C",1
"1121155C",1
"1122155C",1
"1123155C",1
"1127155C",1
"1128155C",1
"1129155C",1
"1135155C",1
"1136155C",1
"1139155C",1
"1143155C",1
"1144155C",1
"1183155C",1
"1187155C",1
"1189155C",1
"1191155C",1
"1196155C",1
"1197155C",1
"1198155C",1
"1201155C",1
"1205155C",1
"1211155C",1
"1212155C",1
"1214155C",1
"0021158C",1
"0068158C",1
"0073158C",1
"0084158C",1
"0108158C",1
"0114158C",1
"0137158C",1
"0157158C",1
"0161158C",1
"0207158C",1
"0213158C",1
"0256158C",1
"0269158C",1
"0274158C",1
"0277158C",1
"0285158C",1
"0303158C",1
"0304158C",1
"0310158C",1
"0332158C",1
"0334158C",1
"0336158C",1
"0347158C",1
"0363158C",1
"0370158C",1
"0371158C",1
"0379158C",1
"0380158C",1
"0383158C",1
"0386158C",1
"0387158C",1
"0391158C",1
"0393158C",1
"0395158C",1
"0397158C",1
"0401158C",1
"0409158C",1
"0413158C",1
"0414158C",1
"0430158C",1
"0432158C",1
"0440158C",1
"0444158C",1
"0447158C",1
"0466158C",1
"0489158C",1
"0490158C",1
"0492158C",1
"0494158C",1
"0519158C",1
"0524158C",1
"0525158C",1
"0532158C",1
"0538158C",1
"0540158C",1
"0541158C",1
"0544158C",1
"0548158C",1
"0554158C",1
"0555158C",1
"0556158C",1
"0557158C",1
"0559158C",1
"0560158C",1
"0562158C",1
"0565158C",1
"0567158C",1
"0570158C",1
"0571158C",1
"0572158C",1
"0577158C",1
"0580158C",1
"0584158C",1
"0585158C",1
"0586158C",1
"0589158C",1
"0590158C",1
"0593158C",1
"0595158C",1
"0598158C",1
"0600158C",1
"0601158C",1
"0602158C",1
"0603158C",1
"0604158C",1
"0605158C",1
"0606158C",1
"0609158C",1
"0610158C",1
"0611158C",1
"0613158C",1
"0615158C",1
"0617158C",1
"0620158C",1
"0624158C",1
"0625158C",1
"0626158C",1
"0628158C",1
"0633158C",1
"0636158C",1
"0646158C",1
"0648158C",1
"0651158C",1
"0653158C",1
"0654158C",1
"0656158C",1
"0658158C",1
"0660158C",1
"0662158C",1
"0664158C",1
"0665158C",1
"0667158C",1
"0668158C",1
"0670158C",1
"0677158C",1
"0678158C",1
"0679158C",1
"0680158C",1
"0681158C",1
"0690158C",1
"0008159C",1
"0012159C",1
"0013159C",1
"0014159C",1
"0015159C",1
"0016159C",1
"0017159C",1
"0018159C",1
"0019159C",1
"0023159C",1
"0025159C",1
"0026159C",1
"0028159C",1
"0029159C",1
"0031159C",1
"0032159C",1
"0037159C",1
"0045159C",1
"0049159C",1
"0059159C",1
"0061159C",1
"0071159C",1
"0096159C",1
"0109159C",1
"0116159C",1
"0118159C",1
"0126159C",1
"0164159C",1
"0181159C",1
"0188159C",1
"0226159C",1
"0255159C",1
"0260159C",1
"0304159C",1
"0320159C",1
"0331159C",1
"0368159C",1
"0406159C",1
"0410159C",1
"0437159C",1
"0441159C",1
"0446159C",1
"0448159C",1
"0476159C",1
"0502159C",1
"0504159C",1
"0612159C",1
"0638159C",1
"0658159C",1
"0674159C",1
"0675159C",1
"0686159C",1
"0695159C",1
"0723159C",1
"0013160C",1
"0021160C",1
"0024160C",1
"0027160C",1
"0033160C",1
"0064160C",1
"0069160C",1
"0081160C",1
"0087160C",1
"0101160C",1
"0119160C",1
"0123160C",1
"0133160C",1
"0147160C",1
"0150160C",1
"0170160C",1
"0267160C",1
"0294160C",1
"0353160C",1
"0360160C",1
"0367160C",1
"1097160C",1
"0019161C",1
"0033161C",1
"0037161C",1
"0039161C",1
"0057161C",1
"0063161C",1
"0071161C",1
"0079161C",1
"0091161C",1
"0095161C",1
"0137161C",1
"0139161C",1
"0151161C",1
"0157161C",1
"0159161C",1
"0164161C",1
"0173161C",1
"0198161C",1
"0204161C",1
"0208161C",1
"0209161C",1
"0212161C",1
"0214161C",1
"0220161C",1
"0221161C",1
"0235161C",1
"0236161C",1
"0241161C",1
"0252161C",1
"0254161C",1
"0267161C",1
"0269161C",1
"0271161C",1
"0276161C",1
"0282161C",1
"0295161C",1
"0302161C",1
"0320161C",1
"0331161C",1
"0335161C",1
"0339161C",1
"0345161C",1
"0363161C",1
"0367161C",1
"0374161C",1
"0381161C",1
"0384161C",1
"0399161C",1
"0410161C",1
"0423161C",1
"0427161C",1
"0433161C",1
"0447161C",1
"0449161C",1
"0454161C",1
"0463161C",1
"0465161C",1
"0473161C",1
"0476161C",1
"0477161C",1
"0489161C",1
"0513161C",1
"0517161C",1
"0521161C",1
"0523161C",1
"0532161C",1
"0536161C",1
"0542161C",1
"0574161C",1
"0578161C",1
"0583161C",1
"0593161C",1
"0595161C",1
"0949161C",1
"0007162C",1
"0019162C",1
"0027162C",1
"0056162C",1
"0073162C",1
"0105162C",1
"0138162C",1
"0146162C",1
"0152162C",1
"0164162C",1
"0170162C",1
"0174162C",1
"0182162C",1
"0186162C",1
"0224162C",1
"0236162C",1
"0240162C",1
"0246162C",1
"0249162C",1
"0266162C",1
"0268162C",1
"0288162C",1
"0290162C",1
"0325162C",1
"0342162C",1
"0348162C",1
"0350162C",1
"0355162C",1
"0365162C",1
"0371162C",1
"0395162C",1
"0415162C",1
"0416162C",1
"0420162C",1
"0426162C",1
"0442162C",1
"0446162C",1
"0452162C",1
"0464162C",1
"0472162C",1
"0474162C",1
"0480162C",1
"0486162C",1
"0490162C",1
"0494162C",1
"0502162C",1
"0508162C",1
"0515162C",1
"0522162C",1
"0526162C",1
"0528162C",1
"0540162C",1
"0546162C",1
"0548162C",1
"0554162C",1
"0574162C",1
"0648162C",1
"0673162C",1
"0676162C",1
"0702162C",1
"0705162C",1
"0722162C",1
"0742162C",1
"0752162C",1
"0758162C",1
"0764162C",1
"0770162C",1
"0773162C",1
"0001163C",1
"0002163C",1
"0003163C",1
"0008163C",1
"0010163C",1
"0013163C",1
"0014163C",1
"0015163C",1
"0018163C",1
"0031163C",1
"0033163C",1
"0034163C",1
"0036163C",1
"0049163C",1
"0053163C",1
"0054163C",1
"0055163C",1
"0059163C",1
"0064163C",1
"0065163C",1
"0066163C",1
"0068163C",1
"0070163C",1
"0071163C",1
"0072163C",1
"0073163C",1
"0074163C",1
"0076163C",1
"0078163C",1
"0079163C",1
"0080163C",1
"0081163C",1
"0083163C",1
"0085163C",1
"0087163C",1
"0088163C",1
"0089163C",1
"0091163C",1
"0096163C",1
"0097163C",1
"0100163C",1
"0103163C",1
"0104163C",1
"0107163C",1
"0109163C",1
"0111163C",1
"0112163C",1
"0113163C",1
"0115163C",1
"0116163C",1
"0117163C",1
"0121163C",1
"0125163C",1
"0126163C",1
"0128163C",1
"0130163C",1
"0132163C",1
"0134163C",1
"0135163C",1
"0143163C",1
"0145163C",1
"0147163C",1
"0148163C",1
"0150163C",1
"0151163C",1
"0152163C",1
"0159163C",1
"0164163C",1
"0001164C",1
"0002164C",1
"0003164C",1
"0016164C",1
"0019164C",1
"0020164C",1
"0028164C",1
"0029164C",1
"0031164C",1
"0036164C",1
"0044164C",1
"0045164C",1
"0048164C",1
"0050164C",1
"0052164C",1
"0053164C",1
"0057164C",1
"0058164C",1
"0062164C",1
"0066164C",1
"0068164C",1
"0076164C",1
"0077164C",1
"0105164C",1
"0002165C",1
"0003165C",1
"0016165C",1
"0022165C",1
"0025165C",1
"0026165C",1
"0034165C",1
"0036165C",1
"0039165C",1
"0044165C",1
"0052165C",1
"0066165C",1
"0101165C",1
"0109165C",1
"0110165C",1
"0112165C",1
"0126165C",1
"0130165C",1
"0150165C",1
"0175165C",1
"0205165C",1
"0226165C",1
"0356165C",1
"0038166C",1
"0054166C",1
"0056166C",1
"0084166C",1
"0110166C",1
"0111166C",1
"0128166C",1
"0133166C",1
"0155166C",1
"0168166C",1
"0184166C",1
"0194166C",1
"0197166C",1
"0224166C",1
"0243166C",1
"0254166C",1
"0276166C",1
"0312166C",1
"0345166C",1
"0352166C",1
"0638166C",1
"0902166C",1
"0952166C",1
"0990166C",1
"1008166C",1
"0126167C",1
"0136167C",1
"0246167C",1
"0300167C",1
"0338167C",1
"0392167C",1
"0402167C",1
"0405167C",1
"0421167C",1
"0470167C",1
"0485167C",1
"0497167C",1
"0501167C",1
"0509167C",1
"0563167C",1
"0571167C",1
"0582167C",1
"0598167C",1
"0612167C",1
"0623167C",1
"0138168C",1
"0195168C",1
"0204168C",1
"0213168C",1
"0235168C",1
"0266168C",1
"0302168C",1
"0324168C",1
"0354168C",1
"0398168C",1
"0428168C",1
"0446168C",1
"0450168C",1
"0468168C",1
"0493168C",1
"0622168C",1
"0657168C",1
"0693168C",1
"0730168C",1
"0063169C",1
"0088169C",1
"0089169C",1
"0130169C",1
"0141169C",1
"0142169C",1
"0152169C",1
"0211169C",1
"0245169C",1
"0314169C",1
"0324169C",1
"0334169C",1
"0340169C",1
"0341169C",1
"0355169C",1
"0358169C",1
"0360169C",1
"0365169C",1
"0367169C",1
"0369169C",1
"0371169C",1
"0372169C",1
"0419169C",1
"0420169C",1
"0423169C",1
"0424169C",1
"0425169C",1
"0426169C",1
"0427169C",1
"0432169C",1
"0436169C",1
"0441169C",1
"0447169C",1
"0449169C",1
"0451169C",1
"0458169C",1
"0463169C",1
"0464169C",1
"0465169C",1
"0468169C",1
"0469169C",1
"0472169C",1
"0473169C",1
"0486169C",1
"0492169C",1
"0501169C",1
"0502169C",1
"0503169C",1
"0508169C",1
"0514169C",1
"0517169C",1
"0518169C",1
"0519169C",1
"0523169C",1
"0526169C",1
"0528169C",1
"0532169C",1
"0540169C",1
"0543169C",1
"0544169C",1
"0545169C",1
"0546169C",1
"0549169C",1
"0552169C",1
"0553169C",1
"0554169C",1
"0560169C",1
"0562169C",1
"0563169C",1
"0564169C",1
"0568169C",1
"0569169C",1
"0571169C",1
"0572169C",1
"0573169C",1
"0578169C",1
"0582169C",1
"0583169C",1
"0585169C",1
"0588169C",1
"0591169C",1
"0596169C",1
"0601169C",1
"0602169C",1
"0604169C",1
"0608169C",1
"0617169C",1
"0627169C",1
"0631169C",1
"0632169C",1
"0655169C",1
"0667169C",1
"0670169C",1
"0672169C",1
"0673169C",1
"0674169C",1
"0680169C",1
"0681169C",1
"0683169C",1
"0685169C",1
"0686169C",1
"0687169C",1
"0688169C",1
"0690169C",1
"0707169C",1
"0716169C",1
"0738169C",1
"0740169C",1
"0762169C",1
"0768169C",1
"0007170C",1
"0009170C",1
"0010170C",1
"0011170C",1
"0014170C",1
"0018170C",1
"0020170C",1
"0023170C",1
"0024170C",1
"0026170C",1
"0030170C",1
"0032170C",1
"0037170C",1
"0040170C",1
"0042170C",1
"0044170C",1
"0045170C",1
"0048170C",1
"0050170C",1
"0051170C",1
"0052170C",1
"0054170C",1
"0057170C",1
"0062170C",1
"0066170C",1
"0073170C",1
"0076170C",1
"0089170C",1
"0097170C",1
"0132170C",1
"0135170C",1
"0143170C",1
"0172170C",1
"0196170C",1
"0207170C",1
"0209170C",1
"0220170C",1
"0226170C",1
"0231170C",1
"0237170C",1
"0250170C",1
"0260170C",1
"0269170C",1
"0271170C",1
"0277170C",1
"0280170C",1
"0281170C",1
"0282170C",1
"0285170C",1
"0286170C",1
"0288170C",1
"0291170C",1
"0302170C",1
"0306170C",1
"0309170C",1
"0323170C",1
"0330170C",1
"0336170C",1
"0337170C",1
"0347170C",1
"0348170C",1
"0359170C",1
"0393170C",1
"0540170C",1
"0541170C",1
"0555170C",1
"0350171C",1
"0151172C",1
"0152172C",1
"0154172C",1
"0162172C",1
"0166172C",1
"0169172C",1
"0173172C",1
"0184172C",1
"0190172C",1
"0193172C",1
"0204172C",1
"0211172C",1
"0215172C",1
"0217172C",1
"0220172C",1
"0221172C",1
"0224172C",1
"0226172C",1
"0228172C",1
"0231172C",1
"0235172C",1
"0236172C",1
"0243172C",1
"0244172C",1
"0247172C",1
"0248172C",1
"0251172C",1
"0253172C",1
"0254172C",1
"0255172C",1
"0261172C",1
"0262172C",1
"0263172C",1
"0264172C",1
"0265172C",1
"0267172C",1
"0278172C",1
"0280172C",1
"0285172C",1
"0291172C",1
"0294172C",1
"0306172C",1
"0309172C",1
"0315172C",1
"0316172C",1
"0319172C",1
"0326172C",1
"0328172C",1
"0332172C",1
"0336172C",1
"0342172C",1
"0349172C",1
"0353172C",1
"0355172C",1
"0356172C",1
"0358172C",1
"0360172C",1
"0365172C",1
"0367172C",1
"0371172C",1
"0373172C",1
"0374172C",1
"0375172C",1
"0376172C",1
"0378172C",1
"0384172C",1
"0389172C",1
"0391172C",1
"0394172C",1
"0399172C",1
"0403172C",1
"0406172C",1
"0421172C",1
"0426172C",1
"0434172C",1
"0435172C",1
"0444172C",1
"0445172C",1
"0450172C",1
"0457172C",1
"0459172C",1
"0477172C",1
"0478172C",1
"0484172C",1
"0494172C",1
"0496172C",1
"0505172C",1
"0506172C",1
"0512172C",1
"0513172C",1
"0516172C",1
"0521172C",1
"0523172C",1
"0526172C",1
"0529172C",1
"0531172C",1
"0533172C",1
"0534172C",1
"0541172C",1
"0543172C",1
"0546172C",1
"0555172C",1
"0562172C",1
"0564172C",1
"0565172C",1
"0566172C",1
"0568172C",1
"0571172C",1
"0572172C",1
"0576172C",1
"0577172C",1
"0581172C",1
"0583172C",1
"0584172C",1
"0588172C",1
"0589172C",1
"0590172C",1
"0593172C",1
"0596172C",1
"0598172C",1
"0601172C",1
"0604172C",1
"0606172C",1
"0607172C",1
"0608172C",1
"0609172C",1
"0610172C",1
"0613172C",1
"0616172C",1
"0617172C",1
"0623172C",1
"0624172C",1
"0625172C",1
"0626172C",1
"0627172C",1
"0628172C",1
"0631172C",1
"0632172C",1
"0634172C",1
"0637172C",1
"0642172C",1
"0645172C",1
"0646172C",1
"0648172C",1
"0649172C",1
"0651172C",1
"0652172C",1
"0656172C",1
"0658172C",1
"0661172C",1
"0663172C",1
"0664172C",1
"0665172C",1
"0666172C",1
"0667172C",1
"0668172C",1
"0672172C",1
"0693172C",1
"0697172C",1
"0700172C",1
"0701172C",1
"0719172C",1
"0720172C",1
"0733172C",1
"0750172C",1
"0754172C",1
"0755172C",1
"0757172C",1
"0767172C",1
"0781172C",1
"0782172C",1
"0788172C",1
"0789172C",1
"0790172C",1
"0791172C",1
"0792172C",1
"0002173C",1
"0005173C",1
"0006173C",1
"0010173C",1
"0014173C",1
"0015173C",1
"0016173C",1
"0020173C",1
"0025173C",1
"0026173C",1
"0055173C",1
"0056173C",1
"0058173C",1
"0062173C",1
"0064173C",1
"0065173C",1
"0068173C",1
"0071173C",1
"0072173C",1
"0075173C",1
"0081173C",1
"0082173C",1
"0085173C",1
"0106173C",1
"0110173C",1
"0123173C",1
"0128173C",1
"0371173C",1
"0014174C",1
"0016174C",1
"0087174C",1
"0146174C",1
"0154174C",1
"0166174C",1
"0177174C",1
"0181174C",1
"0182174C",1
"0187174C",1
"0194174C",1
"0200174C",1
"0204174C",1
"0217174C",1
"0233174C",1
"0236174C",1
"0241174C",1
"0242174C",1
"0258174C",1
"0274174C",1
"0282174C",1
"0288174C",1
"0291174C",1
"0297174C",1
"0304174C",1
"0307174C",1
"0311174C",1
"0314174C",1
"0315174C",1
"0316174C",1
"0324174C",1
"0326174C",1
"0330174C",1
"0335174C",1
"0339174C",1
"0340174C",1
"0348174C",1
"0350174C",1
"0356174C",1
"0360174C",1
"0366174C",1
"0374174C",1
"0380174C",1
"0382174C",1
"0384174C",1
"0390174C",1
"0392174C",1
"0395174C",1
"0397174C",1
"0408174C",1
"0410174C",1
"0411174C",1
"0413174C",1
"0415174C",1
"0417174C",1
"0418174C",1
"0422174C",1
"0424174C",1
"0425174C",1
"0426174C",1
"0428174C",1
"0430174C",1
"0432174C",1
"0433174C",1
"0435174C",1
"0436174C",1
"0440174C",1
"0441174C",1
"0442174C",1
"0443174C",1
"0444174C",1
"0448174C",1
"0453174C",1
"0464174C",1
"0470174C",1
"0475174C",1
"0481174C",1
"0494174C",1
"0002175C",1
"0003175C",1
"0009175C",1
"0012175C",1
"0013175C",1
"0016175C",1
"0019175C",1
"0021175C",1
"0022175C",1
"0028175C",1
"0030175C",1
"0031175C",1
"0032175C",1
"0038175C",1
"0043175C",1
"0051175C",1
